N,selection_type,U,S,T_m,T_se
100,reproduction,0.07,0.04,124.58,8.595067648296194
100,viability,0.07,0.04,127.36,8.35469407766156
300,reproduction,0.07,0.04,306.66,19.458452085809846
300,viability,0.07,0.04,341.95,23.410678626160617
500,reproduction,0.07,0.04,641.56,49.900505695702805
500,viability,0.07,0.04,671.58,45.4970310497667
700,reproduction,0.07,0.04,995.78,67.15992910037708
700,viability,0.07,0.04,1104.15,74.70032976953158
900,reproduction,0.07,0.04,1554.64,119.44920100277784
900,viability,0.07,0.04,1873.45,146.23869471974007
1100,reproduction,0.07,0.04,2225.65,194.71498641435753
1100,viability,0.07,0.04,2536.85,218.67282944706193
1300,reproduction,0.07,0.04,3784.0,333.8605234089665
1300,viability,0.07,0.04,4997.56,449.4136144269811
1500,reproduction,0.07,0.04,5663.79,474.09076897922523
1500,viability,0.07,0.04,6624.38,619.5140648292112
1700,reproduction,0.07,0.04,7677.81,648.6871060492458
1700,viability,0.07,0.04,13351.5,1276.7651064587828
1900,reproduction,0.07,0.04,14834.2,1431.4448432237687
1900,viability,0.07,0.04,19118.65,1794.8623272025939
