N,selection_type,U,S,T_m,T_se
100,reproduction,0.01,0.01,329.22,28.411558965116342
100,viability,0.01,0.01,292.47,23.4857724177981
300,reproduction,0.01,0.01,828.28,78.96043642997499
300,viability,0.01,0.01,844.29,72.07477780020896
500,reproduction,0.01,0.01,1305.95,120.33568903511359
500,viability,0.01,0.01,1232.56,97.90723946365735
700,reproduction,0.01,0.01,2203.55,198.4206552740766
700,viability,0.01,0.01,2227.72,190.1828052430109
900,reproduction,0.01,0.01,3333.93,332.67109709049555
900,viability,0.01,0.01,3267.91,271.3729675077077
1100,reproduction,0.01,0.01,5035.79,443.2242746458654
1100,viability,0.01,0.01,5092.66,422.9280386815591
1300,reproduction,0.01,0.01,8043.24,691.2538961287171
1300,viability,0.01,0.01,7977.63,676.801449131475
1500,reproduction,0.01,0.01,10576.48,1160.0114908417281
1500,viability,0.01,0.01,11597.42,1166.337377960718
1700,reproduction,0.01,0.01,20444.76,1858.717603108404
1700,viability,0.01,0.01,18329.81,1777.995328287769
1900,reproduction,0.01,0.01,23077.8,1967.6072190569053
1900,viability,0.01,0.01,28844.99,2392.5334453187247
