N,U,S,T_m,T_se
100,0.01,0.02,619.42,51.622434986538494
100,0.03,0.06,2268.06,223.19012406194832
100,0.05,0.1,16793.61,1817.3980809457385
100,0.07,0.14,170209.18,17620.8922237005
100,0.09,0.18,1.85795558e6,189127.5209252972
