N,U,S,T_m,T_se
100,0.07,0.04,114.93,6.437159405523621
300,0.07,0.04,355.59,25.647608410370687
500,0.07,0.04,898.52,80.68627294914695
700,0.07,0.04,2166.73,193.8382731359399
900,0.07,0.04,4900.04,471.20636044651667
1100,0.07,0.04,13024.12,1201.3269736555171
1300,0.07,0.04,29564.11,2776.3239021183635
1500,0.07,0.04,78865.98,8926.296695910925
1700,0.07,0.04,218307.96,21507.36202567433
