N,U,S,T_m,T_se
100,0.01,0.01,319.23,24.435244685255004
300,0.01,0.01,740.43,56.69523389549289
500,0.01,0.01,1875.07,158.8084954696484
700,0.01,0.01,2665.03,227.5598180676674
900,0.01,0.01,5137.19,514.9635547945765
1100,0.01,0.01,8690.96,750.9579102813562
1300,0.01,0.01,16803.88,1576.3110480030791
1500,0.01,0.01,26523.14,2460.5798232263646
1700,0.01,0.01,48177.82,4070.070673805768
1900,0.01,0.01,91967.46,10371.285830409095
