N,U,S,T_m,T_se
100,0.07,0.04,138.95,11.225821380040111
300,0.07,0.04,405.33,29.9764185265146
500,0.07,0.04,858.09,75.70084543114362
700,0.07,0.04,2159.95,198.6687692460427
900,0.07,0.04,5800.19,588.1360942782965
1100,0.07,0.04,12151.39,1225.0342544701566
1300,0.07,0.04,25561.27,2772.64448816441
1500,0.07,0.04,83554.13,8579.70545567812
1700,0.07,0.04,249505.83,23300.163936099292
1900,0.07,0.04,583778.49,75103.94315100502
