N,U,S,T_m,T_se
100,0.01,0.02,601.06,43.406241277242394
100,0.03,0.06,2330.91,249.8123061460748
100,0.05,0.1,18421.81,1633.6230516517203
100,0.07,0.14,242697.46,26950.558889946773
100,0.09,0.18,3.97704921e6,404123.84740767337
