N,U,S,T_m,T_se
100,0.01,0.01,336.55,24.979039192689118
300,0.01,0.01,786.26,53.38521646836076
500,0.01,0.01,1769.13,137.90399065064702
700,0.01,0.01,2489.47,191.7406984587637
900,0.01,0.01,5406.07,466.13330283419043
1100,0.01,0.01,8178.3,681.8092912214967
1300,0.01,0.01,16919.98,1713.9170046369916
1500,0.01,0.01,31774.03,4285.092254831295
1700,0.01,0.01,55834.31,4632.559740099954
1900,0.01,0.01,82816.96,8283.416279066692
